Name,FieldNum,Latitude,Longitude,Tier
Alberts Landing Beach ,EH7,41.00013333,-72.11666667,3
Camp Baiting Hollow Beach (Lake) ,R8,40.95952,-72.77005,2
Camp Blue Bay Beach ,EH2,41.0391,-72.17883333,2
Camp Quinipet Beach ,ST1,41.07053333,-72.37873333,3
Clearwater Beach ,EH3,41.05096667,-72.1671,3
Cornell Cooperative Extension Marine Center Beach ,S25,41.03621667,-72.38863333,3
Crescent Beach - Suffolk ,ST3,41.07411667,-72.36563333,3
Culloden Shores Beach ,EH4,41.07291667,-71.94861667,3
Devon Yacht Club Beach ,EH39,40.99253333,-72.1057,3
East Lake Drive Beach ,EH12,41.0782,-71.93561667,3
Emma Rose Elliston Memorial Park Beach ,SH8,40.9235,-72.4191,3
Fifth Street Park Beach ,S12,41.09298333,-72.36611667,2
Fleets Neck Beach ,S16,41.00561667,-72.46508333,3
Foster Memorial Beach ,SH9,40.9964,-72.32688333,3
Founders Landing Beach ,S14,41.0605,-72.41335,2
Goose Creek Beach ,S13,41.05226667,-72.41348333,2
Havens Beach ,EH1,41.00068333,-72.28425,2
John Schiff Scout Reservation Beach ,R2,40.93533,-72.83342,3
Maidstone Beach ,EH5,41.0344,-72.1862,3
Meschutt Beach ,SH5,40.89483333,-72.49991667,3
Nassau Point Causeway Beach ,S15,41.01513333,-72.44713333,3
New Suffolk Beach ,S17,40.9898,-72.47195,3
Norman E. Klipp Park Beach ,S11,41.11078333,-72.34915,3
Perlman Music Camp Beach ,ST10,41.07081667,-72.3736,3
Pridwin Hotel Beach ,ST2,41.07011667,-72.37558333,3
Shelter Island Heights Beach Club Beach ,ST6,41.08598333,-72.35878333,2
Silver Sands Motel Beach ,S26,41.09416667,-72.37583333,3
South Jamesport Beach ,R14,40.94198333,-72.5687,3
Southampton Peconic Beach & Tennis Club Beach ,SH7,40.89703333,-72.48165,3
Veteran's Memorial Park Beach ,S18,40.97738333,-72.53128333,3
Wades Beach ,ST4,41.04941667,-72.33426667,3
